Scenario,PositiveS,NegativeS,Questions,PositiveQ,NegativeQ
"Your supervisor asks you to write a report. The finished document is quite brief but took a lot of time and effort. Based on your writing, you expect your supervisor's opinion of you will be",Positive,Negative,Do you expect your supervisor to have a positive opinion of you after reading your report?,Yes,No
"You are required to give a presentation to a group of work colleagues that you know well. They are all quiet during your presentation. As you think about the presentation later that day, you think that your colleagues found your presentation ",Interesting,Boring,Did you colleagues enjoy your presentation?,Yes,No
"You are out of town with your basketball team and are sharing a hotel room with someone you do not know very well. As you unpack, there is little conversation between you. You think your teammate thinks you are",Nice,Awkward,Are you at a hotel?,Yes,Yes
"You have an English assignment to write and try very hard to make sure it is comprehensive. The final copy is quite long. When your teacher reads it, you think she will judge your efforts as",Appropriate,Insufficient,Will your teacher judge your efforts as adequate?,Yes,No
"An old acquaintance just moved into your city and asks you out to coffee. You are nervous about seeing him again after many years and could easily tell him that you are too busy. When he calls you about meeting, you",Answer,Avoid,Do you take your acquaintance's call to meet for coffee?,Yes,No
"You just arrived at a restaurant for a date, and you feel nervous. You consider cancelling. In the end you decide to",Stay,Cancel,Do you cancel the date?,No,Yes
"You are put in charge of your office's fundraising efforts and quickly realize that your coworkers are not very interested in the fundraising. At a meeting, you give a presentation about the importance of helping with the fundraising, during which your coworkers are quiet. After your presentation you think you coworkers seem more",Excited,Bored,Do your coworkers seem bored after your presentation?,No,Yes
"As a member of a local charity, you are asked to promote your fundraising events on local radio. You know that the station is widely listened to. You expect that the other committee members will think you spoke",Convincingly,Poorly,Are you speaking on TV?,No,No
"As part of a language course, you are required to take an oral exam. The material has been briefly covered in class and you were requested to do some individual research. As you wait your turn, you feel that others will think you seem",Smart,Foolish,Do others think you seem intelligent when presenting?,Yes,No
"Your partner asks you to go to an anniversary dinner that his/her company is holding. You have not met any of his/her work colleagues before. Getting ready to go, you think that the new people you will meet will find you",Friendly,Boring,Will you be disliked by your new acquaintances? ,No,Yes
"You have a date scheduled with someone you have liked for awhile. On the day of the date, you feel a little nervous as you wonder if he/she will like you as much as you like him/her. Feeling nervous is",Okay,Unbearable,Is it tolerable to feel nervous before your date?,Yes,No
"Your orchestra asks you to play a solo at the next concert. You practice for a few weeks until you feel ready to play with the orchestra. At the first performance you make one mistake, and the conductor probably thinks that your work is",Promising,Rushed,Is the conductor disappointed with your performance?,No,Yes
"You decide to have a barbeque, as the weather is so nice. As your friends arrive, you realize many of them do not know each other well. You realize that your friends probably think that as a host, you are a ",Success,Failure,Do your friends have a negative opinion of you as a host?,No,Yes
A friend suggests that you join an evening class on creative writing. You go online and read information about the class. The thought of other people looking at your writing makes you feel,Enthusiastic,Embarassed,Do you expect to feel uncomfortable if others look at your work? ,No,Yes
"While in a meeting your boss calls on you to write a few notes on the board. As she dictates, you jot down what she says, and everyone watches you while you write. As you hope that you are not making any spelling errors on the board, the others are probably thinking you are",Normal,Dumb,Do your coworkers judge you negatively while you write on the board?,No,Yes
"You have completed a first aid course and have to take a practical test, in which you demonstrate what you learned in front of your classmates. You spent the evening before practicing for the difficult test. As you begin the test, your classmates observing you think you are",Prepared,Incompetent,Do your classmates think you are prepared for the practical test?,Yes,No
"You are working on a project with a coworker in a coffee shop and you accidentally spill your coffee on her papers. As you clean up the mess, your coworkers says that she is not upset with you because of the spill. You think that she is",Sincere,Lying,Are you at a coffee shop?,Yes,Yes
"You arrive to a morning meeting right on time, but you are the last one to arrive. You coworkers look at you as you pull out your chair, and it squeaks loudly. They probably think that you are",Normal,Odd,Do your coworkers find you strange?,No,Yes
Your boss asks to see you following the recent submission of a paper you wrote. He tells you that he wants to talk to you about your work. You think he will tell you that your writing is,Exceptional,Unclear,Do you think your boss likes your writing?,Yes,No
You are invited to a charity ball and decide to wear a formal outfit. The next day you see that your photograph is in the local newspaper with a report. The thought of everyone seeing it makes you feel,Pleased,Worried,Are you looking forward to others seeing your picture in the paper?,Yes,No
"You are giving a speech at a convention for work. As you look into the crowd, you notice your boss's expression is neutral. You think that her expression means that she is",Pleased,Disappointed,Does your boss's neutral expression mean that she is disappointed in your speech?,No,Yes
"A new task is assigned to your department at work and your supervisor asks you to be responsible for it. You have no guidelines to follow, and you ask a colleague for advice. Your colleague probably sees this as a sign of",Intelligence,Failure,Did you make a mistake by asking for advice on the new project?,No,Yes
"For work, you have to give a talk to another department. As you think about the talk, you feel butterflies in your stomach. You feel nervous, and you think your nerves will be",Manageable,Unmanageable,Are you able to tolerate your anxiety?,Yes,No
"You have decided to go on a tour of a cave, even though you feel nervous about being in such an enclosed space. You go deep inside the first cave. You think the chances that you will get trapped inside the cave are",Small,Large,Are you likely to get trapped inside of the cave?,No,Yes
You are on holiday at a mountain resort and are learning how to ski. This is your first attempt to ski downhill on your own. At a moderate speed you approach the first bend and think that skiing is,Fun,Dangerous,Is it safe to try skiing?,Yes,No
You just finished a hard exam and you do not know if you did well or not. You feel nervous as you think about what grade you will get. You think being nervous is,Manageable,Intolerable,Can you tolerate your nervousness as you wait to find out your grade?,Yes,No
"You are backpacking through Europe with your best friend. You have a general idea of what you will do each day, but you didn't plan out every detail ahead of time. This uncertainty causes some anxiety that will be",Tolerable ,Intolerable,Is the spontaneity of your trip going to be tolerable?,Yes,No
"Your son recently went away to college. When you talked to him on the phone last, he sounded different than usual. When you think about the phone call, you decide your son is probably",Fine,Depressed,Is your son doing ok at college?,Yes,No
"You are applying to a prestigious internship program. As you prepare your resume, you reflect upon everything you have accomplished thus far. Your record is strong, but not perfect, which makes you feel",Successful,Inadequate,Are you pleased with your record?,Yes,No
"You are riding an airplane to London. As you look outside the window, you think about how you've never been so far above the Atlantic Ocean. You feel",Thrilled,Terrified,Is it exhilarating to be so high up?,Yes,No
"Your daughter is outside playing with friends. You look out the window and check on her, and do not see her. She is probably",Fine,Lost,Is your daughter okay?,Yes,No
"You are taking a class, and recently turned in a paper. You decided to re-read your submitted paper and realize that you accidentally deleted a section you meant to include in the paper. Given that you accidentally made this deletion, you think that you are likely to",Pass,Fail,Are you going to get a passing grade on the paper?,Yes,No
"You are bouncing on your friend's trampoline. You have fun with your friends, but also consider their safety. While on the trampoline you will probably be",Fine,Injured,Are you likely to get hurt while on the trampoline?,No,Yes
You decide to donate blood at the local blood bank. You look around the room where you will give blood and notice it is very crowded. You decide the environment is,Safe,Unsafe,Is the blood bank harmless?,Yes,No
"You have spent several weeks perfecting a project. When you turn it in, there are a few very minor adjustments you wish you had time to make. As you think about your work, you feel",Content,Dissatisfied,Are you disappointed with the outcome of the project?,No,Yes
You let your teenage son go to an amusement park with some friends. You feel worried about letting your son go to the amusement park without any parents. You think you will deal with your worry ,Successfully,Unsuccessfully,Will you be unsuccessful at dealing with your anxiety?,No,Yes
"You have decided to go back to school for another degree. Although you have been saving for this for the past few years, you worry about not having an income while you are back in school. The likelihood that you will go broke while in school is",Low,High,Will you become broke once you go back to school?,No,Yes
"You are auditioning for a play. You say most of your lines correctly, but mess up on one of two. You think the audition went",Well,Poorly,Do you feel good about the audition?,Yes,No
"You are bringing in the mail for your neighbor while she is away. Each day on your way out of her house, you lock the front door and check it. Today you were rushing and think you forgot to check the lock. The house will probably be",Fine,Robbed,Will your neighbor's house probably be robbed?,No,Yes
"You just left for vacation and cannot remember if you shut off the stove after the last time you cooked. You become anxious not knowing whether the stove is on or off. With these thoughts in mind, your vacation will be",Enjoyable,Unenjoyable,"Will you still be able to enjoy your vacation, even if you are wondering about your stove?",Yes,No
"Your daughter is getting married, and you agreed to help pay for the wedding. As the costs begin to pile up, you realize that the wedding is going to be much more expensive than you previously thought. You feel that after you help pay for the wedding, you will be",Fine,Poor,Do you think you will be poor after helping your daughter pay for the wedding?,No,Yes
"You rushed out of the house this morning. Once at work, you wonder if you forgot to turn off your space heater. The likelihood that the space heater will cause a fire is",Low,High,Will your space heater cause a fire?,No,Yes
"You woke up this morning with a stiff neck. You wonder whether this is a minor injury or a sign of a larger problem, so you schedule an appointment with your doctor. You have to wait until tomorrow to see her, and you think that your anxiety while waiting for the appointment will be",Tolerable ,Intolerable,Are you able to tolerate the anxiety while waiting to see your doctor?,Yes,No
"Your neighbor bakes you a cake for your birthday. When she delivers it, she notes that she has recently gotten over the flu. Your chances of becoming sick are",Minimal,High,Are you likely to get sick from the cake?,No,Yes
"You found a dark mole on your leg and made an appointment with your doctor to get it looked at. Your doctor says she will get back to you with the test results within the next few days. You become anxious at the thought of waiting for test results for an undetermined amount of time, and your anxious feelings are",Manageable,Unbearable,Are you able to manage your anxious feelings while waiting for your test results?,Yes,No
"Your neighbor bakes you a cake for your birthday. When she delivers it, she notes that she has recently gotten over the flu. Your chances of becoming sick are",Manageable,Unbearable,Will you remain healthy after eating the cake?,Yes,No
"You notice that you have a mole on your arm that you haven't noticed before. You schedule a doctor's appointment to have it examined. As you wait for your appointment, you think the mole is likely",Meaningless,Cancer,Is the new mole a sign of cancer?,No,Yes
"You have been riding in the car all day with your partner and have not yet stopped for food. Once you stop, you realize that your stomach is starting to ache. This is probably a sign of",Hunger,Ulcers,Does the ache in your stomach mean that you are hungry?,Yes,No
